"","Unique_ID","Date","Time_Start","Latitude","Longitude","Type_of_observation","Common_name","Scientific_name","Family","Genus","Species"
"12155",22282,"2011/01/13 00:00:00+00","1899/12/30 07:00:00+00",-38.02444,145.2789,"Heard during bird survey","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12156",22283,"2011/01/13 00:00:00+00","1899/12/30 07:00:00+00",-38.02444,145.2789,"Heard during bird survey","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12157",22284,"2011/01/14 00:00:00+00","1899/12/30 19:30:00+00",-37.737174,145.115255,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12158",22285,"2011/01/14 00:00:00+00","1899/12/30 19:30:00+00",-37.737174,145.115255,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12159",22286,"2011/01/14 00:00:00+00","1899/12/30 19:30:00+00",-37.737174,145.115255,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12160",22287,"2011/01/14 00:00:00+00","1899/12/30 19:30:00+00",-37.737174,145.115255,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12161",22288,"2011/01/14 00:00:00+00","1899/12/30 19:00:00+00",-37.737174,145.115255,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12162",22289,"2011/01/14 00:00:00+00","1899/12/30 19:00:00+00",-37.737174,145.115255,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12163",22290,"2011/01/15 00:00:00+00","1899/12/30 19:00:00+00",-37.854223,145.208499,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
"12164",22291,"2011/01/15 00:00:00+00","1899/12/30 19:00:00+00",-37.854223,145.208499,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12165",22297,"2011/01/15 00:00:00+00","1899/12/30 18:30:00+00",-37.850529,145.226215,"","Eastern Sign-bearing Froglet","Crinia parinsignifera","Myobatrachidae","Crinia","parinsignifera"
"12166",22292,"2011/01/15 00:00:00+00","1899/12/30 19:10:00+00",-37.737174,145.115255,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12167",22293,"2011/01/15 00:00:00+00","1899/12/30 19:10:00+00",-37.737174,145.115255,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12168",22294,"2011/01/15 00:00:00+00","1899/12/30 19:10:00+00",-37.737174,145.115255,"","Peron's Tree Frog","Litoria peronii","Hylidae","Litoria","peronii"
"12169",22295,"2011/01/15 00:00:00+00","1899/12/30 19:10:00+00",-37.737174,145.115255,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12170",22296,"2011/01/15 00:00:00+00","1899/12/30 19:10:00+00",-37.737174,145.115255,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12171",22299,"2011/01/16 00:00:00+00","1899/12/30 19:00:00+00",-37.846892,145.21291,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
"12172",22300,"2011/01/16 00:00:00+00","1899/12/30 19:00:00+00",-37.846892,145.21291,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12173",22301,"2011/01/16 00:00:00+00","1899/12/30 10:30:00+00",-37.711502,145.150602,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12174",22302,"2011/01/16 00:00:00+00","1899/12/30 10:30:00+00",-37.711502,145.150602,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12175",22298,"2011/01/16 00:00:00+00","1899/12/30 08:00:00+00",-37.99278,145.2719,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12176",22303,"2011/01/16 00:00:00+00","1899/12/30 19:00:00+00",-37.605197,145.221065,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12177",22304,"2011/01/16 00:00:00+00","1899/12/30 19:00:00+00",-37.605197,145.221065,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12178",22305,"2011/01/16 00:00:00+00","1899/12/30 19:00:00+00",-37.605197,145.221065,"","Peron's Tree Frog","Litoria peronii","Hylidae","Litoria","peronii"
"12179",22306,"2011/01/16 00:00:00+00","1899/12/30 19:00:00+00",-37.605197,145.221065,"","Whistling Tree Frog","Litoria verreauxii verreauxii","Hylidae","Litoria","verreauxii verreauxii"
"12180",22307,"2011/01/17 00:00:00+00","1899/12/30 19:00:00+00",-37.777214,145.26584,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12181",22308,"2011/01/17 00:00:00+00","1899/12/30 19:10:00+00",-37.777214,145.26584,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12188",22316,"2011/01/19 00:00:00+00","1899/12/30 21:40:00+00",-37.858052,145.057824,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12189",22317,"2011/01/19 00:00:00+00","1899/12/30 21:40:00+00",-37.858052,145.057824,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12190",22318,"2011/01/19 00:00:00+00","1899/12/30 07:50:00+00",-37.6527,144.841,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12191",22315,"2011/01/19 00:00:00+00","1899/12/30 07:50:00+00",-38.01639,145.2425,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12196",22319,"2011/01/20 00:00:00+00","1899/12/30 09:15:00+00",-38.03722,145.275,"Heard during bird survey","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12197",22320,"2011/01/20 00:00:00+00","1899/12/30 19:00:00+00",-37.700597,145.057704,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12198",22321,"2011/01/20 00:00:00+00","1899/12/30 19:00:00+00",-37.700597,145.057704,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12199",22322,"2011/01/20 00:00:00+00","1899/12/30 19:00:00+00",-37.700597,145.057704,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12202",22326,"2011/01/21 00:00:00+00","1899/12/30 19:00:00+00",-37.298113,144.61185,"","Eastern Sign-bearing Froglet","Crinia parinsignifera","Myobatrachidae","Crinia","parinsignifera"
"12203",22327,"2011/01/21 00:00:00+00","1899/12/30 19:00:00+00",-37.298113,144.61185,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
"12204",22328,"2011/01/21 00:00:00+00","1899/12/30 19:00:00+00",-37.298113,144.61185,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12205",22329,"2011/01/21 00:00:00+00","1899/12/30 19:00:00+00",-37.298113,144.61185,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12217",22341,"2011/01/22 00:00:00+00","1899/12/30 21:00:00+00",-37.428029,144.999766,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12218",22342,"2011/01/22 00:00:00+00","1899/12/30 21:00:00+00",-37.428029,144.999766,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12219",22343,"2011/01/22 00:00:00+00","1899/12/30 21:00:00+00",-37.428029,144.999766,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12220",22344,"2011/01/22 00:00:00+00","1899/12/30 21:00:00+00",-37.428029,144.999766,"","Eastern Sign-bearing Froglet","Crinia parinsignifera","Myobatrachidae","Crinia","parinsignifera"
"12232",22349,"2011/01/25 00:00:00+00","1899/12/30 19:00:00+00",-37.831884,145.363501,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12233",22350,"2011/01/25 00:00:00+00","1899/12/30 19:00:00+00",-37.831884,145.363501,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
"12234",22359,"2011/01/25 00:00:00+00","1899/12/30 20:21:00+00",-37.861711,145.062259,"","Eastern Dwarf Tree Frog","Litoria fallax","Hylidae","Litoria","fallax"
"12235",22365,"2011/01/27 00:00:00+00","1899/12/30 22:00:00+00",-37.777499,145.048908,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
"12236",22366,"2011/01/27 00:00:00+00","1899/12/30 22:00:00+00",-37.777499,145.048908,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12237",22360,"2011/01/27 00:00:00+00","1899/12/30 23:00:00+00",-37.777497,145.053335,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12238",22361,"2011/01/27 00:00:00+00","1899/12/30 23:00:00+00",-37.777497,145.053335,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12239",22362,"2011/01/27 00:00:00+00","1899/12/30 21:00:00+00",-37.777499,145.048908,"","Eastern Dwarf Tree Frog","Litoria fallax","Hylidae","Litoria","fallax"
"12240",22363,"2011/01/27 00:00:00+00","1899/12/30 21:00:00+00",-37.777499,145.048908,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12241",22364,"2011/01/27 00:00:00+00","1899/12/30 21:00:00+00",-37.777499,145.048908,"","Peron's Tree Frog","Litoria peronii","Hylidae","Litoria","peronii"
"12245",22370,"2011/01/28 00:00:00+00","1899/12/30 20:00:00+00",-37.872676,145.093298,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12246",22371,"2011/01/28 00:00:00+00","1899/12/30 20:00:00+00",-37.872676,145.093298,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12247",22372,"2011/01/28 00:00:00+00","1899/12/30 20:00:00+00",-37.872676,145.093298,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12250",22375,"2011/02/01 00:00:00+00","1899/12/30 11:00:00+00",-37.934958,144.995773,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12251",22376,"2011/02/01 00:00:00+00","1899/12/30 21:00:00+00",-37.964248,145.0224,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12252",22377,"2011/02/01 00:00:00+00","1899/12/30 21:00:00+00",-37.964248,145.0224,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12253",22378,"2011/02/01 00:00:00+00","1899/12/30 22:30:00+00",-37.777499,145.048908,"","Eastern Dwarf Tree Frog","Litoria fallax","Hylidae","Litoria","fallax"
"12261",22386,"2011/02/02 00:00:00+00","1899/12/30 23:00:00+00",-37.876152,145.230725,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12276",22392,"2011/02/03 00:00:00+00","1899/12/30 07:30:00+00",-38.01805,145.13,"Heard during bird survey","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12279",22396,"2011/02/04 00:00:00+00","1899/12/30 21:00:00+00",-37.656412,145.247735,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12280",22397,"2011/02/04 00:00:00+00","1899/12/30 21:00:00+00",-37.656412,145.247735,"","Peron's Tree Frog","Litoria peronii","Hylidae","Litoria","peronii"
"12281",22400,"2011/02/04 00:00:00+00","1899/12/30 21:00:00+00",-37.656412,145.247735,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12282",22398,"2011/02/04 00:00:00+00","1899/12/30 21:15:00+00",-37.656412,145.247735,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12283",22399,"2011/02/04 00:00:00+00","1899/12/30 21:15:00+00",-37.656412,145.247735,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12284",22395,"2011/02/04 00:00:00+00","1899/12/30 21:00:00+00",-38.165559,145.120361,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12285",22402,"2011/02/05 00:00:00+00","1899/12/30 18:30:00+00",-37.557763,144.911921,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12286",22403,"2011/02/05 00:00:00+00","1899/12/30 18:30:00+00",-37.557763,144.911921,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12287",22404,"2011/02/05 00:00:00+00","1899/12/30 22:57:00+00",-37.748182,145.088718,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12288",22405,"2011/02/05 00:00:00+00","1899/12/30 22:57:00+00",-37.748182,145.088718,"","Eastern Dwarf Tree Frog","Litoria fallax","Hylidae","Litoria","fallax"
"12289",22406,"2011/02/05 00:00:00+00","1899/12/30 22:57:00+00",-37.748182,145.088718,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12290",22407,"2011/02/05 00:00:00+00","1899/12/30 22:57:00+00",-37.748182,145.088718,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12291",22408,"2011/02/05 00:00:00+00","1899/12/30 22:57:00+00",-37.748182,145.088718,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
"12292",22409,"2011/02/05 00:00:00+00","1899/12/30 22:57:00+00",-37.748182,145.088718,"","Peron's Tree Frog","Litoria peronii","Hylidae","Litoria","peronii"
"12293",22410,"2011/02/05 00:00:00+00","1899/12/30 22:57:00+00",-37.748182,145.088718,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12294",22401,"2011/02/05 00:00:00+00","1899/12/30 09:00:00+00",-37.857664,145.310443,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12295",22411,"2011/02/05 00:00:00+00","1899/12/30 22:38:00+00",-37.751853,145.075446,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
"12296",22412,"2011/02/05 00:00:00+00","1899/12/30 22:38:00+00",-37.751853,145.075446,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12297",22413,"2011/02/05 00:00:00+00","1899/12/30 22:38:00+00",-37.751853,145.075446,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12298",22414,"2011/02/05 00:00:00+00","1899/12/30 22:38:00+00",-37.751853,145.075446,"","Peron's Tree Frog","Litoria peronii","Hylidae","Litoria","peronii"
"12299",22415,"2011/02/05 00:00:00+00","1899/12/30 22:38:00+00",-37.751853,145.075446,"","Eastern Dwarf Tree Frog","Litoria fallax","Hylidae","Litoria","fallax"
"12300",22416,"2011/02/06 00:00:00+00","1899/12/30 11:00:00+00",-37.65648,145.212374,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12301",22417,"2011/02/06 00:00:00+00","1899/12/30 11:00:00+00",-37.65648,145.212374,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12302",22418,"2011/02/06 00:00:00+00","1899/12/30 11:00:00+00",-37.65648,145.212374,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12303",22419,"2011/02/07 00:00:00+00","1899/12/30 07:30:00+00",-37.861433,144.734282,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12304",22420,"2011/02/07 00:00:00+00","1899/12/30 07:30:00+00",-37.861433,144.734282,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12305",22421,"2011/02/07 00:00:00+00","1899/12/30 07:30:00+00",-37.861433,144.734282,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12308",22424,"2011/02/08 00:00:00+00","1899/12/30 11:00:00+00",-38.298357,145.575487,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12309",22425,"2011/02/08 00:00:00+00","1899/12/30 11:00:00+00",-38.298357,145.575487,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12310",22426,"2011/02/08 00:00:00+00","1899/12/30 18:00:00+00",-37.8278,145.483097,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12311",22427,"2011/02/08 00:00:00+00","1899/12/30 18:00:00+00",-37.8278,145.483097,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12312",22428,"2011/02/08 00:00:00+00","1899/12/30 18:00:00+00",-37.8278,145.483097,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12313",22429,"2011/02/08 00:00:00+00","1899/12/30 18:00:00+00",-37.8278,145.483097,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12314",22431,"2011/02/09 00:00:00+00","1899/12/30 22:30:00+00",-37.627326,145.10625,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
"12315",22432,"2011/02/09 00:00:00+00","1899/12/30 22:30:00+00",-37.627326,145.10625,"","Eastern Dwarf Tree Frog","Litoria fallax","Hylidae","Litoria","fallax"
"12316",22433,"2011/02/09 00:00:00+00","1899/12/30 22:30:00+00",-37.627326,145.10625,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12317",22430,"2011/02/09 00:00:00+00","1899/12/30 21:45:00+00",-37.942277,145.031267,"","Striped Marsh Frog","Limnodynastes peronii","Myobatrachidae","Limnodynastes","peronii"
"12318",22436,"2011/02/09 00:00:00+00","1899/12/30 08:05:00+00",-37.6573,144.833,"Frog census (AVW code)","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12319",22434,"2011/02/09 00:00:00+00","1899/12/30 21:55:00+00",-37.956923,145.031274,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12320",22435,"2011/02/09 00:00:00+00","1899/12/30 21:50:00+00",-37.956924,145.026836,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12321",22437,"2011/02/10 00:00:00+00","1899/12/30 09:45:00+00",-37.916114,144.640946,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12322",22438,"2011/02/10 00:00:00+00","1899/12/30 09:45:00+00",-37.916114,144.640946,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12323",22439,"2011/02/10 00:00:00+00","1899/12/30 09:45:00+00",-37.916114,144.640946,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12324",22440,"2011/02/10 00:00:00+00","1899/12/30 11:38:00+00",-37.960052,144.640737,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12325",22441,"2011/02/10 00:00:00+00","1899/12/30 11:38:00+00",-37.960052,144.640737,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12326",22442,"2011/02/10 00:00:00+00","1899/12/30 09:45:00+00",-37.916114,144.640946,"","Growling Grass Frog","Litoria raniformis","Hylidae","Litoria","raniformis"
"12327",22443,"2011/02/10 00:00:00+00","1899/12/30 11:38:00+00",-37.960052,144.640737,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12334",22450,"2011/02/11 00:00:00+00","1899/12/30 07:32:00+00",-37.789044,144.564955,"Opportunistic recording","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12335",22451,"2011/02/11 00:00:00+00","1899/12/30 07:40:00+00",-37.783113,144.56246,"Opportunistic recording","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12336",22452,"2011/02/11 00:00:00+00","1899/12/30 07:40:00+00",-37.783113,144.56246,"Opportunistic recording","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12356",22465,"2011/02/16 00:00:00+00","1899/12/30 08:00:00+00",-38.01639,145.2425,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12358",22467,"2011/02/17 00:00:00+00","1899/12/30 09:15:00+00",-38.03722,145.275,"Heard during bird survey","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12359",22468,"2011/02/17 00:00:00+00","1899/12/30 09:15:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12360",22469,"2011/02/17 00:00:00+00","1899/12/30 09:15:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12361",22470,"2011/02/17 00:00:00+00","1899/12/30 09:15:00+00",-38.03722,145.275,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12362",22471,"2011/02/17 00:00:00+00","1899/12/30 07:50:00+00",-38.03667,145.2805,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12366",22475,"2011/02/20 00:00:00+00","1899/12/30 08:00:00+00",-37.99278,145.2719,"Heard during bird survey","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12367",22476,"2011/02/20 00:00:00+00","1899/12/30 08:00:00+00",-37.99278,145.2719,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12403",22499,"2011/02/24 00:00:00+00","1899/12/30 08:10:00+00",-38.04417,145.3078,"Heard during bird survey","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12404",22500,"2011/02/24 00:00:00+00","1899/12/30 07:45:00+00",-37.96889,145.2317,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12405",22501,"2011/02/24 00:00:00+00","1899/12/30 19:00:00+00",-37.824193,144.976952,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12408",22504,"2011/02/25 00:00:00+00","1899/12/30 20:15:00+00",-37.813653,145.336838,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
"12409",22505,"2011/02/27 00:00:00+00","1899/12/30 08:12:00+00",-37.975,145.2339,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12410",22506,"2011/02/28 00:00:00+00","1899/12/30 20:00:00+00",-37.879862,144.796282,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12420",22519,"2011/03/02 00:00:00+00","1899/12/30 21:00:00+00",-37.879769,145.252902,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12421",22516,"2011/03/02 00:00:00+00","1899/12/30 22:00:00+00",-37.671041,145.256625,"","Whistling Tree Frog","Litoria verreauxii verreauxii","Hylidae","Litoria","verreauxii verreauxii"
"12422",22517,"2011/03/02 00:00:00+00","1899/12/30 22:00:00+00",-37.671041,145.256625,"","Victorian Smooth Froglet","Geocrinia victoriana","Myobatrachidae","Geocrinia","victoriana"
"12423",22518,"2011/03/02 00:00:00+00","1899/12/30 22:00:00+00",-37.671041,145.256625,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
"12426",22524,"2011/03/03 00:00:00+00","1899/12/30 08:53:00+00",-37.978777,144.564132,"Opportunistic recording","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12427",22523,"2011/03/03 00:00:00+00","1899/12/30 20:00:00+00",-38.022776,145.115692,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12428",22522,"2011/03/03 00:00:00+00","1899/12/30 08:15:00+00",-38.01805,145.13,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12429",22526,"2011/03/06 00:00:00+00","1899/12/30 08:12:00+00",-37.975,145.2339,"Heard during bird survey","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12430",22527,"2011/03/07 00:00:00+00","1899/12/30 21:15:00+00",-37.905418,145.244118,"","Whistling Tree Frog","Litoria verreauxii verreauxii","Hylidae","Litoria","verreauxii verreauxii"
"12431",22530,"2011/03/07 00:00:00+00","1899/12/30 21:35:00+00",-37.905381,145.261857,"","Eastern Common Froglet","Crinia signifera","Myobatrachidae","Crinia","signifera"
"12432",22531,"2011/03/07 00:00:00+00","1899/12/30 21:35:00+00",-37.905381,145.261857,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12433",22532,"2011/03/07 00:00:00+00","1899/12/30 21:35:00+00",-37.905381,145.261857,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
"12434",22529,"2011/03/07 00:00:00+00","1899/12/30 20:40:00+00",-37.912767,145.230837,"","Eastern Dwarf Tree Frog","Litoria fallax","Hylidae","Litoria","fallax"
"12435",22533,"2011/03/09 00:00:00+00","1899/12/30 19:30:00+00",-37.499867,145.067469,"","Spotted Marsh Frog","Limnodynastes tasmaniensis","Myobatrachidae","Limnodynastes","tasmaniensis"
"12436",22534,"2011/03/09 00:00:00+00","1899/12/30 19:30:00+00",-37.499867,145.067469,"","Eastern Banjo Frog","Limnodynastes dumerilii","Myobatrachidae","Limnodynastes","dumerilii"
"12437",22535,"2011/03/09 00:00:00+00","1899/12/30 19:30:00+00",-37.499867,145.067469,"","Southern Brown Tree Frog","Litoria ewingii","Hylidae","Litoria","ewingii"
